intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,name,filename,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp
5634000,0.019826788334782044,0.9172907847606643,0.019826788334782044,0.019826788334782044,,,,"CP048626.1 Blautia producta ATCC 27340 = DSM 2950 strain JCM 1471 chromosome, complete genome",/Users/t/dev/2022-augmented-covers/gut/gut-queries.zip,698994c96972a3ff39d5abbef995fbd9,0.9172907847606643,5634000,0,86612000,outputs.paper/abundtrim/p8808mo11.abundtrim.fq.gz,p8808mo11,6a8413cf,284161000
5510000,0.019390415996565328,0.9960231381055676,0.019390415996565328,0.019390415996565328,,,,"HF996869.1 Clostridium hathewayi CAG:224 genomic scaffold, scf1, whole genome shotgun sequence",/Users/t/dev/2022-augmented-covers/gut/gut-queries.zip,e1681d164e1343664cc157db62bef9ea,0.9960231381055676,5510000,1,81102000,outputs.paper/abundtrim/p8808mo11.abundtrim.fq.gz,p8808mo11,6a8413cf,284161000
5017000,0.017655484038977903,0.9958316792377928,0.017655484038977903,0.017655484038977903,,,,"DABGPL010000001.1 TPA_asm: Escherichia coli isolate 96859 SAMN12731446-rid8596363.denovo.01, whole genome shotgun sequence",/Users/t/dev/2022-augmented-covers/gut/gut-queries.zip,e1aec1bc312822a20539469fc6923749,0.9958316792377928,5017000,2,76085000,outputs.paper/abundtrim/p8808mo11.abundtrim.fq.gz,p8808mo11,6a8413cf,284161000
4586000,0.016138738250498837,0.8364941999631744,0.01598741558482691,0.01598741558482691,,,,"CZAB01000001.1 [Clostridium] clostridioforme strain 2789STDY5834865 genome assembly, contig: SCcontig000001, whole genome shotgun sequence",/Users/t/dev/2022-augmented-covers/gut/gut-queries.zip,fc9e495736d6619bad52fa69cede71dc,0.8444117105505432,4543000,3,71542000,outputs.paper/abundtrim/p8808mo11.abundtrim.fq.gz,p8808mo11,6a8413cf,284161000
4224000,0.014864812553446814,0.6618750998243093,0.014583282012661836,0.014583282012661836,,,,"WTVF01000090.1 Enterocloster aldenensis strain MSK.1.13 NODE_101_length_620_cov_174.315, whole genome shotgun sequence",/Users/t/dev/2022-augmented-covers/gut/gut-queries.zip,c7c5653ed2c30e9772abadf178a9368c,0.6746526114039291,4144000,4,67398000,outputs.paper/abundtrim/p8808mo11.abundtrim.fq.gz,p8808mo11,6a8413cf,284161000
4137000,0.01455864809034315,0.8799568965517242,0.01436861497531329,0.01436861497531329,,,,"GL834357.1 Clostridium symbiosum WAL-14673 genomic scaffold supercont1.1, whole genome shotgun sequence",/Users/t/dev/2022-augmented-covers/gut/gut-queries.zip,d7455b0f77603e9dec9b05a01f5fe901,0.8915948275862069,4083000,5,63315000,outputs.paper/abundtrim/p8808mo11.abundtrim.fq.gz,p8808mo11,6a8413cf,284161000
3525000,0.012404939453338072,0.8727678571428571,0.0123838246627792,0.0123838246627792,,,,"AENW01000060.1 Clostridium sp. HGF2 contig00005, whole genome shotgun sequence",/Users/t/dev/2022-augmented-covers/gut/gut-queries.zip,4d472ef2ba3f0da01531ada29e8fe1e5,0.8742559523809523,3519000,6,59796000,outputs.paper/abundtrim/p8808mo11.abundtrim.fq.gz,p8808mo11,6a8413cf,284161000
3198000,0.011254183367879476,0.9928571428571429,0.011250664236119664,0.011250664236119664,,,,"JULC01000001.1 Bifidobacterium scardovii strain 981_BLON 0_10310_276427, whole genome shotgun sequence",/Users/t/dev/2022-augmented-covers/gut/gut-queries.zip,559aceb48c3438540e7dd35c9a7be51d,0.993167701863354,3197000,7,56599000,outputs.paper/abundtrim/p8808mo11.abundtrim.fq.gz,p8808mo11,6a8413cf,284161000
3022000,0.010634816178152526,0.9821254468638284,0.010634816178152526,0.010634816178152526,,,,"HF995415.1 Coprobacillus sp. CAG:183 genomic scaffold, scf14, whole genome shotgun sequence",/Users/t/dev/2022-augmented-covers/gut/gut-queries.zip,c869dedd92898662540b72eea7c61698,0.9821254468638284,3022000,8,53577000,outputs.paper/abundtrim/p8808mo11.abundtrim.fq.gz,p8808mo11,6a8413cf,284161000
2868000,0.010092869887141444,0.8951814768460575,0.010068235964822758,0.010068235964822758,,,,"SMCQ01000001.1 Longibaculum muris strain DSM 29487 Ga0244711_101, whole genome shotgun sequence",/Users/t/dev/2022-augmented-covers/gut/gut-queries.zip,f78b300954e755242df91ac808a59a00,0.8973717146433041,2861000,9,50716000,outputs.paper/abundtrim/p8808mo11.abundtrim.fq.gz,p8808mo11,6a8413cf,284161000
2569000,0.00904064949095759,0.7332952598515134,0.009037130359197778,0.009037130359197778,,,,"MARQ01000035.1 Clostridium perfringens strain JFP833 Contig_1, whole genome shotgun sequence",/Users/t/dev/2022-augmented-covers/gut/gut-queries.zip,b6f5bb879c43a66576a945b4ccdd597c,0.7335808109651628,2568000,10,48148000,outputs.paper/abundtrim/p8808mo11.abundtrim.fq.gz,p8808mo11,6a8413cf,284161000
2500000,0.008797829399530548,0.7455904334828102,0.008776714608971675,0.008776714608971675,,,,"CVRR01000001.1 Roseburia faecis genome assembly M72, contig M72_100, whole genome shotgun sequence",/Users/t/dev/2022-augmented-covers/gut/gut-queries.zip,2761b9bfb8ee41b7d2e36ef75953884e,0.7473841554559043,2494000,11,45654000,outputs.paper/abundtrim/p8808mo11.abundtrim.fq.gz,p8808mo11,6a8413cf,284161000
2488000,0.0087555998184128,0.8022049286640727,0.00870633197377543,0.00870633197377543,,,,"NIHW01000001.1 [Ruminococcus] gnavus strain RJX1128 RJX1128_1, whole genome shotgun sequence",/Users/t/dev/2022-augmented-covers/gut/gut-queries.zip,d2c41dd24b3078c44e28084a85ad4dfa,0.8067444876783398,2474000,12,43180000,outputs.paper/abundtrim/p8808mo11.abundtrim.fq.gz,p8808mo11,6a8413cf,284161000
2407000,0.00847055014586801,0.4316702819956616,0.008403686642431579,0.008403686642431579,,,,"JH590866.1 Lachnospiraceae bacterium 7_1_58FAA genomic scaffold supercont1.1, whole genome shotgun sequence",/Users/t/dev/2022-augmented-covers/gut/gut-queries.zip,5188a18cdf61f976d782a46b9df72fff,0.43510484454085324,2388000,13,40792000,outputs.paper/abundtrim/p8808mo11.abundtrim.fq.gz,p8808mo11,6a8413cf,284161000
2377000,0.008364976193073645,0.7127371273712737,0.008329784875475523,0.008329784875475523,,,,"CABIYM010000001.1 Anaerostipes caccae isolate MGYG-HGUT-00080 genome assembly, contig: .15841_8_85.1, whole genome shotgun sequence",/Users/t/dev/2022-augmented-covers/gut/gut-queries.zip,78e10d143a1a8d463505089a740df662,0.715748268593797,2367000,14,38425000,outputs.paper/abundtrim/p8808mo11.abundtrim.fq.gz,p8808mo11,6a8413cf,284161000
2393000,0.00842128230123064,0.7813021702838063,0.008234768317960594,0.008234768317960594,,,,"FMEP01000075.1 uncultured Ruminococcus sp. isolate 2789STDY5608846 genome assembly, contig: SCcontig000075, whole genome shotgun sequence",/Users/t/dev/2022-augmented-covers/gut/gut-queries.zip,a349f0f9a966d7bfd99f67f8c33f19aa,0.7989983305509182,2340000,15,36085000,outputs.paper/abundtrim/p8808mo11.abundtrim.fq.gz,p8808mo11,6a8413cf,284161000
