intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,name,filename,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp
15784000,0.10850645511665956,0.626946298061646,0.10850645511665956,0.10850645511665956,,,,"SSXJ01000001.1 Cryptococcus neoformans AD hybrid strain CBS 132 tig00000002, whole genome shotgun sequence",/Users/t/dev/2022-augmented-covers/zymomock/zymomock-queries.zip,8ee760caa4fa863a3ccfc6d56032ecf3,0.626946298061646,15784000,0,46689000,outputs.paper/abundtrim/SRR12324253.abundtrim.fq.gz,SRR12324253,9e18523b,145466000
11327000,0.07786699297430327,0.9757904712673386,0.07786011851566689,0.07786011851566689,,,,"WMJW01000001.1 Saccharomyces cerevisiae strain FDAARGOS_613 tig00000001_pilon, whole genome shotgun sequence",/Users/t/dev/2022-augmented-covers/zymomock/zymomock-queries.zip,600790316485b4b59aa888889852952c,0.9758766261738606,11326000,1,35363000,outputs.paper/abundtrim/SRR12324253.abundtrim.fq.gz,SRR12324253,9e18523b,145466000
7395000,0.05083662161604774,0.6765782250686185,0.05083662161604774,0.05083662161604774,,,,"JSPL01000060.1 Escherichia coli strain blood-2011-0167 blood-2011-0167_ctg_1010, whole genome shotgun sequence",/Users/t/dev/2022-augmented-covers/zymomock/zymomock-queries.zip,2aff86d3dce82c19adaf5f4309d1a958,0.6765782250686185,7395000,2,27968000,outputs.paper/abundtrim/SRR12324253.abundtrim.fq.gz,SRR12324253,9e18523b,145466000
4695000,0.0322755832978153,0.9838160136286201,0.03175999890008662,0.03175999890008662,,,,"VFAF01000002.1 Salmonella enterica strain FDAARGOS_609 unitig_0_quiver_quiver_pilon, whole genome shotgun sequence",/Users/t/dev/2022-augmented-covers/zymomock/zymomock-queries.zip,c9a5e6546cc2b76efa755bdbd0462f68,0.9997870528109029,4620000,3,23348000,outputs.paper/abundtrim/SRR12324253.abundtrim.fq.gz,SRR12324253,9e18523b,145466000
3966000,0.02726410295189254,0.9977358490566037,0.02726410295189254,0.02726410295189254,,,,CP039755.1 Bacillus subtilis strain NRS 231 chromosome,/Users/t/dev/2022-augmented-covers/zymomock/zymomock-queries.zip,9a16673357f0dffc8a00c5f05d27ec14,0.9977358490566037,3966000,4,19382000,outputs.paper/abundtrim/SRR12324253.abundtrim.fq.gz,SRR12324253,9e18523b,145466000
5222000,0.035898422999188814,0.43261163734776725,0.021977644260514486,0.021977644260514486,,,,"FREP01002036.1 Escherichia coli isolate Hp_23-13 genome assembly, contig: NODE_2036_length_128_cov_1092_ID_40855, whole genome shotgun sequence",/Users/t/dev/2022-augmented-covers/zymomock/zymomock-queries.zip,6635427eeb83ff327943230742f0ca5c,0.7066305818673884,3197000,5,16185000,outputs.paper/abundtrim/SRR12324253.abundtrim.fq.gz,SRR12324253,9e18523b,145466000
2814000,0.01934472660278003,0.9996447602131439,0.01934472660278003,0.01934472660278003,,,,CP039751.1 Listeria monocytogenes strain Li 2108 chromosome,/Users/t/dev/2022-augmented-covers/zymomock/zymomock-queries.zip,2a5dc9e51dfd26eb431807bf36c06d87,0.9996447602131439,2814000,6,13371000,outputs.paper/abundtrim/SRR12324253.abundtrim.fq.gz,SRR12324253,9e18523b,145466000
2714000,0.01865728073914179,0.9981597350018403,0.01864353182186903,0.01864353182186903,,,,"VFAE01000004.1 Staphylococcus aureus strain FDAARGOS_612 NODE_17_length_3056_cov_663.630749_trim, whole genome shotgun sequence",/Users/t/dev/2022-augmented-covers/zymomock/zymomock-queries.zip,1b4ca5bc219cbbca4f200247afb17164,0.9988958410011042,2712000,7,10659000,outputs.paper/abundtrim/SRR12324253.abundtrim.fq.gz,SRR12324253,9e18523b,145466000
10267000,0.07058006681973794,0.09960852544584602,0.01259400822185253,0.01259400822185253,,,,"AE017341.1 Cryptococcus neoformans var. neoformans JEC21 chromosome 1, complete sequence",/Users/t/dev/2022-augmented-covers/zymomock/zymomock-queries.zip,7b1028bc46b0fcaa626a2a691e6ba918,0.5582318399304045,1832000,8,8827000,outputs.paper/abundtrim/SRR12324253.abundtrim.fq.gz,SRR12324253,9e18523b,145466000
1802000,0.012387774462761058,0.9983361064891847,0.012374025545488292,0.012374025545488292,,,,CP039750.1 Limosilactobacillus fermentum strain B1 28 chromosome,/Users/t/dev/2022-augmented-covers/zymomock/zymomock-queries.zip,29be1cadee9f22f6da68f82cda6b223a,0.9994453688297282,1800000,9,7027000,outputs.paper/abundtrim/SRR12324253.abundtrim.fq.gz,SRR12324253,9e18523b,145466000
6841000,0.04702817153149189,0.26268089460605176,0.012353402169579145,0.012353402169579145,,,,"CP041013.1 Pseudomonas aeruginosa strain FDAARGOS_610 chromosome, complete genome",/Users/t/dev/2022-augmented-covers/zymomock/zymomock-queries.zip,c3ffb9dc69b98f11fa4657761daaed47,1.0,1797000,10,5230000,outputs.paper/abundtrim/SRR12324253.abundtrim.fq.gz,SRR12324253,9e18523b,145466000
8368000,0.057525469869247794,0.0911425605158188,0.011466597005485819,0.011466597005485819,,,,"CP003820.1 Cryptococcus neoformans var. grubii H99 chromosome 1, complete sequence",/Users/t/dev/2022-augmented-covers/zymomock/zymomock-queries.zip,de72fb4b698dc17dcb74717103c67efa,0.4572427736189279,1668000,11,3562000,outputs.paper/abundtrim/SRR12324253.abundtrim.fq.gz,SRR12324253,9e18523b,145466000
2810000,0.019317228768234503,0.35988620199146515,0.006956952140018974,0.006956952140018974,,,,CP039752.1 Enterococcus faecalis strain 110 chromosome,/Users/t/dev/2022-augmented-covers/zymomock/zymomock-queries.zip,54d24bed7345e42236586a44e195b8d7,0.9992887624466572,1012000,12,2550000,outputs.paper/abundtrim/SRR12324253.abundtrim.fq.gz,SRR12324253,9e18523b,145466000
4690000,0.03224121100463338,0.1997867803837953,0.006441367742290294,0.006441367742290294,,,,"VFAG01000002.1 Escherichia coli strain FDAARGOS_608 unitig_0_quiver_quiver_pilon, whole genome shotgun sequence",/Users/t/dev/2022-augmented-covers/zymomock/zymomock-queries.zip,358d43650b32f669c1ae869a78781461,1.0,937000,13,1613000,outputs.paper/abundtrim/SRR12324253.abundtrim.fq.gz,SRR12324253,9e18523b,145466000
10632000,0.07308924422201751,0.024191165607918452,0.004502770406830462,0.004502770406830462,,,,"LOQK01000001.1 Saccharomyces pastorianus strain Hybrid yeast 7 sequence_1, whole genome shotgun sequence",/Users/t/dev/2022-augmented-covers/zymomock/zymomock-queries.zip,ffb0ec85fb9f64cd8bd01a2cb5561349,0.39267247747082284,655000,14,958000,outputs.paper/abundtrim/SRR12324253.abundtrim.fq.gz,SRR12324253,9e18523b,145466000
527000,0.0036228397013735167,0.09593555474185281,0.0036022163254643695,0.0036022163254643695,,,,"VEMH01000100.1 Bacillus paranthracis strain DE0088 NODE_100_length_243_cov_43.879518, whole genome shotgun sequence",/Users/t/dev/2022-augmented-covers/zymomock/zymomock-queries.zip,ff17399d910434e37285bca22d832175,0.09648480410106189,524000,15,434000,outputs.paper/abundtrim/SRR12324253.abundtrim.fq.gz,SRR12324253,9e18523b,145466000
10330000,0.07101315771383003,0.025110132158590308,0.0019592207113689796,0.0019592207113689796,,,,"CM010209.1 Saccharomyces cerevisiae strain JT10.10 chromosome I, whole genome shotgun sequence",/Users/t/dev/2022-augmented-covers/zymomock/zymomock-queries.zip,2ace0b660e617560624309b50f6c6332,0.9101321585903084,285000,16,149000,outputs.paper/abundtrim/SRR12324253.abundtrim.fq.gz,SRR12324253,9e18523b,145466000
10448000,0.07182434383292316,0.012962157459765115,0.0010242943368209754,0.0010242943368209754,,,,"CM006175.1 Saccharomyces cerevisiae strain beer063 chromosome I, whole genome shotgun sequence",/Users/t/dev/2022-augmented-covers/zymomock/zymomock-queries.zip,b913a1debb2b766f09f61588f7341b95,0.908916920400174,149000,17,0,outputs.paper/abundtrim/SRR12324253.abundtrim.fq.gz,SRR12324253,9e18523b,145466000
