intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,name,filename,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp
9512000,0.03347398129933383,1.0,0.03347398129933383,0.03347398129933383,,,,"nbhd:CVRR01000001.1 Roseburia faecis genome assembly M72, contig M72_100, whole genome shotgun sequence from p8808mo11_k31_r1",/Users/t/dev/2022-augmented-covers/gut/gut-nbhds.zip,764c25c0bb2ae37976f9903f782cdb02,1.0,9512000,0,130843000,outputs.paper/abundtrim/p8808mo11.abundtrim.fq.gz,p8808mo11,6a8413cf,284161000
8672000,0.030517910621091566,0.9951568265682657,0.03037010708717945,0.03037010708717945,,,,"nbhd:NIHW01000001.1 [Ruminococcus] gnavus strain RJX1128 RJX1128_1, whole genome shotgun sequence from p8808mo11_k31_r1",/Users/t/dev/2022-augmented-covers/gut/gut-nbhds.zip,11b1165dcf1554896bfe57d89367cbae,1.0,8630000,1,122213000,outputs.paper/abundtrim/p8808mo11.abundtrim.fq.gz,p8808mo11,6a8413cf,284161000
7768000,0.027336615510221318,0.9997425334706488,0.027329577246701695,0.027329577246701695,,,,"nbhd:DABGPL010000001.1 TPA_asm: Escherichia coli isolate 96859 SAMN12731446-rid8596363.denovo.01, whole genome shotgun sequence from p8808mo11_k31_r1",/Users/t/dev/2022-augmented-covers/gut/gut-nbhds.zip,93dcb8a4b232ef49be54862927b7a223,1.0,7766000,2,114447000,outputs.paper/abundtrim/p8808mo11.abundtrim.fq.gz,p8808mo11,6a8413cf,284161000
7624000,0.02682986053680836,0.9917366211962224,0.02660815523594019,0.02660815523594019,,,,"nbhd:CP048626.1 Blautia producta ATCC 27340 = DSM 2950 strain JCM 1471 chromosome, complete genome from p8808mo11_k31_r1",/Users/t/dev/2022-augmented-covers/gut/gut-nbhds.zip,6289800ea20c1ac47e981b6339fceb97,1.0,7561000,3,106886000,outputs.paper/abundtrim/p8808mo11.abundtrim.fq.gz,p8808mo11,6a8413cf,284161000
7555000,0.026587040445381314,0.9780277961614825,0.026002864573252488,0.026002864573252488,,,,"nbhd:CZAB01000001.1 [Clostridium] clostridioforme strain 2789STDY5834865 genome assembly, contig: SCcontig000001, whole genome shotgun sequence from p8808mo11_k31_r1",/Users/t/dev/2022-augmented-covers/gut/gut-nbhds.zip,40ead05582b9df2d1413a18c9e3dc18e,1.0,7389000,4,99497000,outputs.paper/abundtrim/p8808mo11.abundtrim.fq.gz,p8808mo11,6a8413cf,284161000
7391000,0.02600990283677211,0.9963469084021107,0.02591488627925718,0.02591488627925718,,,,"nbhd:AENW01000060.1 Clostridium sp. HGF2 contig00005, whole genome shotgun sequence from p8808mo11_k31_r1",/Users/t/dev/2022-augmented-covers/gut/gut-nbhds.zip,f961b8a7600b9226207ee777cd121503,1.0,7364000,5,92133000,outputs.paper/abundtrim/p8808mo11.abundtrim.fq.gz,p8808mo11,6a8413cf,284161000
6781000,0.023863232463286657,0.9911517475298629,0.023652084557697926,0.023652084557697926,,,,"nbhd:HF996869.1 Clostridium hathewayi CAG:224 genomic scaffold, scf1, whole genome shotgun sequence from p8808mo11_k31_r1",/Users/t/dev/2022-augmented-covers/gut/gut-nbhds.zip,e3f81ace3e0ec8be3134d5d987b653c6,1.0,6721000,6,85412000,outputs.paper/abundtrim/p8808mo11.abundtrim.fq.gz,p8808mo11,6a8413cf,284161000
5803000,0.020421521602190306,0.9638118214716526,0.01968250393262974,0.01968250393262974,,,,"nbhd:GL834357.1 Clostridium symbiosum WAL-14673 genomic scaffold supercont1.1, whole genome shotgun sequence from p8808mo11_k31_r1",/Users/t/dev/2022-augmented-covers/gut/gut-nbhds.zip,82bee7d4bfe889f05aa56c8da4d4b61c,1.0,5593000,7,79819000,outputs.paper/abundtrim/p8808mo11.abundtrim.fq.gz,p8808mo11,6a8413cf,284161000
5630000,0.019812711807742793,0.9069271758436945,0.01796868676560119,0.01796868676560119,,,,"nbhd:WTVF01000090.1 Enterocloster aldenensis strain MSK.1.13 NODE_101_length_620_cov_174.315, whole genome shotgun sequence from p8808mo11_k31_r1",/Users/t/dev/2022-augmented-covers/gut/gut-nbhds.zip,681561f969e004b3babbdddfc2c3b4b2,1.0,5106000,8,74713000,outputs.paper/abundtrim/p8808mo11.abundtrim.fq.gz,p8808mo11,6a8413cf,284161000
4839000,0.017029078585731328,0.9859475098160777,0.0167897776260641,0.0167897776260641,,,,"nbhd:JH599901.1 Coprobacillus sp. 8_2_54BFAA genomic scaffold supercont1.1, whole genome shotgun sequence from p8808mo11_k31_r1",/Users/t/dev/2022-augmented-covers/gut/gut-nbhds.zip,ff0a827089b3c6e7a9946bbc7515b5f4,1.0,4771000,9,69942000,outputs.paper/abundtrim/p8808mo11.abundtrim.fq.gz,p8808mo11,6a8413cf,284161000
4089000,0.014389729765872165,0.9975544142822206,0.014354538448274041,0.014354538448274041,,,,"nbhd:JULC01000001.1 Bifidobacterium scardovii strain 981_BLON 0_10310_276427, whole genome shotgun sequence from p8808mo11_k31_r1",/Users/t/dev/2022-augmented-covers/gut/gut-nbhds.zip,8959b2c1230a820ec5e9d8728d951513,1.0,4079000,10,65863000,outputs.paper/abundtrim/p8808mo11.abundtrim.fq.gz,p8808mo11,6a8413cf,284161000
3960000,0.013935761768856388,0.9537878787878787,0.013291760656810751,0.013291760656810751,,,,"nbhd:CABJAX010000001.1 Lachnospiraceae bacterium isolate MGYG-HGUT-00148 genome assembly, contig: ERS138167.8080_1_69.1, whole genome shotgun sequence from p8808mo11_k31_r1",/Users/t/dev/2022-augmented-covers/gut/gut-nbhds.zip,09e94cfd7626548f4317dbf35e8377d6,1.0,3777000,11,62086000,outputs.paper/abundtrim/p8808mo11.abundtrim.fq.gz,p8808mo11,6a8413cf,284161000
3765000,0.013249531075693006,0.9604249667994688,0.012725180443480984,0.012725180443480984,,,,"nbhd:JH590866.1 Lachnospiraceae bacterium 7_1_58FAA genomic scaffold supercont1.1, whole genome shotgun sequence from p8808mo11_k31_r1",/Users/t/dev/2022-augmented-covers/gut/gut-nbhds.zip,6a0f67897e527698ace2fe5f3e58005e,1.0,3616000,12,58470000,outputs.paper/abundtrim/p8808mo11.abundtrim.fq.gz,p8808mo11,6a8413cf,284161000
3601000,0.012672393467083801,0.9944459872257706,0.012602010831887557,0.012602010831887557,,,,"nbhd:FMFU01000020.1 uncultured Clostridium sp. isolate 2789STDY5834904 genome assembly, contig: SCcontig000020, whole genome shotgun sequence from p8808mo11_k31_r1",/Users/t/dev/2022-augmented-covers/gut/gut-nbhds.zip,a4f441b44ddd43a55b345884e477ea82,1.0,3581000,13,54889000,outputs.paper/abundtrim/p8808mo11.abundtrim.fq.gz,p8808mo11,6a8413cf,284161000
3458000,0.012169157625430653,0.9916136495083864,0.0120671028043961,0.0120671028043961,,,,"nbhd:MARQ01000035.1 Clostridium perfringens strain JFP833 Contig_1, whole genome shotgun sequence from p8808mo11_k31_r1",/Users/t/dev/2022-augmented-covers/gut/gut-nbhds.zip,30d08acc2476015cd0468c7e3e184446,1.0,3429000,14,51460000,outputs.paper/abundtrim/p8808mo11.abundtrim.fq.gz,p8808mo11,6a8413cf,284161000
3369000,0.011855954898807365,0.9726921935292372,0.011532194776904642,0.011532194776904642,,,,"nbhd:SMCQ01000001.1 Longibaculum muris strain DSM 29487 Ga0244711_101, whole genome shotgun sequence from p8808mo11_k31_r1",/Users/t/dev/2022-augmented-covers/gut/gut-nbhds.zip,c18c4f0e581c54551da6cc4b344ff2d2,1.0,3277000,15,48183000,outputs.paper/abundtrim/p8808mo11.abundtrim.fq.gz,p8808mo11,6a8413cf,284161000
3543000,0.012468283825014692,0.9170194750211685,0.0114336590876299,0.0114336590876299,,,,"nbhd:SPHM01000100.1 Pseudoflavonifractor sp. BSD2780061688st1 E11 strain BSD2780061688st1_E11 NODE_100_length_1588_cov_155.206, whole genome shotgun sequence from p8808mo11_k31_r1",/Users/t/dev/2022-augmented-covers/gut/gut-nbhds.zip,023f1ea7397be59a28d25a4a1853752f,1.0,3249000,16,44934000,outputs.paper/abundtrim/p8808mo11.abundtrim.fq.gz,p8808mo11,6a8413cf,284161000
3061000,0.010772062316785203,0.953936622018948,0.01027586473865168,0.01027586473865168,,,,"nbhd:CABIYM010000001.1 Anaerostipes caccae isolate MGYG-HGUT-00080 genome assembly, contig: .15841_8_85.1, whole genome shotgun sequence from p8808mo11_k31_r1",/Users/t/dev/2022-augmented-covers/gut/gut-nbhds.zip,eb1dba0927fccd8cc404198a91e1b97b,1.0,2920000,17,42014000,outputs.paper/abundtrim/p8808mo11.abundtrim.fq.gz,p8808mo11,6a8413cf,284161000
2913000,0.010251230816332994,0.9546858908341915,0.009786705424037782,0.009786705424037782,,,,"nbhd:AZYA01000001.1 Bifidobacterium sp. MSTE12 contig00033, whole genome shotgun sequence from p8808mo11_k31_r1",/Users/t/dev/2022-augmented-covers/gut/gut-nbhds.zip,04f0d41cf41abb14fa62a99a4d56bfe3,1.0,2781000,18,39233000,outputs.paper/abundtrim/p8808mo11.abundtrim.fq.gz,p8808mo11,6a8413cf,284161000
3111000,0.010948018904775814,0.8675666988106718,0.009498136619733179,0.009498136619733179,,,,"nbhd:FMEP01000075.1 uncultured Ruminococcus sp. isolate 2789STDY5608846 genome assembly, contig: SCcontig000075, whole genome shotgun sequence from p8808mo11_k31_r1",/Users/t/dev/2022-augmented-covers/gut/gut-nbhds.zip,bca7a282581dac540e2f65d780390c67,1.0,2699000,19,36534000,outputs.paper/abundtrim/p8808mo11.abundtrim.fq.gz,p8808mo11,6a8413cf,284161000
2620000,0.009220125210708014,0.9919847328244275,0.009146223443751957,0.009146223443751957,,,,"nbhd:CP019721.1 Veillonella parvula strain UTDB1-3, complete genome from p8808mo11_k31_r1",/Users/t/dev/2022-augmented-covers/gut/gut-nbhds.zip,dd7360846f3f5b9ca0ef99f2dab7e90b,1.0,2599000,20,33935000,outputs.paper/abundtrim/p8808mo11.abundtrim.fq.gz,p8808mo11,6a8413cf,284161000
2596000,0.00913566604847252,0.902542372881356,0.008245325713240029,0.008245325713240029,,,,"nbhd:NFLB01000001.1 [Clostridium] spiroforme strain An149 An149_contig_1, whole genome shotgun sequence from p8808mo11_k31_r1",/Users/t/dev/2022-augmented-covers/gut/gut-nbhds.zip,b44dc7c2e76ca781b7f901158a45fdb1,1.0,2343000,21,31592000,outputs.paper/abundtrim/p8808mo11.abundtrim.fq.gz,p8808mo11,6a8413cf,284161000
